Date,Parcelle,Traitement,Exclos,Profondeur,Répétition,Conductivite_thermique,Qualite_inv,Temp_moy,Remarque
11/03/2020,ROC7,14,Exclos,5,1,0.14,1,20.69,
11/03/2020,ROC7,14,Exclos,5,2,0.14,1,19.51,
11/03/2020,ROC7,14,Exclos,10,1,0.41,1,18.83,
11/03/2020,ROC7,14,Exclos,10,2,0.38,1,18.76,
11/03/2020,ROC7,14,Exclos,15,1,0.47,1,18.12,
11/03/2020,ROC7,14,Exclos,15,2,0.53,1,18.11,
11/03/2020,ROC7,1,Exclos,5,1,0.31,1,20.22,
11/03/2020,ROC7,1,Exclos,5,2,0.32,1,19.21,
11/03/2020,ROC7,1,Exclos,10,1,0.47,1,19.34,
11/03/2020,ROC7,1,Exclos,10,2,0.42,1,19.11,
11/03/2020,ROC7,1,Exclos,15,1,0.44,1,18.7,
11/03/2020,ROC7,1,Exclos,15,2,0.41,1,18.73,
12/03/2020,ROC6,14,Temoin,5,1,0.31,1,21.15,
12/03/2020,ROC6,14,Temoin,5,2,0.34,1,19.29,
12/03/2020,ROC6,14,Temoin,10,1,0.51,1,20.34,Ne prendre que la première mesure!
12/03/2020,ROC6,14,Temoin,10,2,0.5,1,19.78,
12/03/2020,ROC6,14,Temoin,15,1,1.14,1,19.47,Prendre potentiellement la mesure avec la température plutot que la différence (atmosphère instable). Potentiellement à discarter : Destructuré
12/03/2020,ROC6,14,Temoin,15,2,1.01,1,19.47,Prendre potentiellement la mesure avec la température plutot que la différence (atmosphère instable). Potentiellement à discarter : Destructuré
12/03/2020,ROC6,14,Temoin,15,3,1.01,1,19.93,
12/03/2020,ROC7,14,Temoin,5,1,0.33,1,17.73,
12/03/2020,ROC7,14,Temoin,5,2,0.33,1,16.97,
12/03/2020,ROC7,14,Temoin,10,1,0.55,1,17.6,
12/03/2020,ROC7,14,Temoin,10,2,0.56,1,17.49,
12/03/2020,ROC7,1,Temoin,5,1,0.31,1,14.89,
12/03/2020,ROC7,1,Temoin,5,2,0.32,1,15.07,
12/03/2020,ROC7,1,Temoin,10,1,0.48,1,15.49,
12/03/2020,ROC7,1,Temoin,10,2,0.42,1,15.72,
12/03/2020,ROC6,1,Temoin,5,1,0.55,1,13.6,Essayer avec T_hot
12/03/2020,ROC6,1,Temoin,5,2,0.58,1,13.98,
12/03/2020,ROC6,1,Temoin,10,1,0.85,1,14.5,Essayer avec T_hot
12/03/2020,ROC6,1,Temoin,10,2,0.86,1,14.81,
13/03/2020,ROC6,14,Exclos,5,1,0.07,1,17.87,
13/03/2020,ROC6,14,Exclos,5,2,0.06,1,17.87,
13/03/2020,ROC6,14,Exclos,10,1,0.27,1,16.05,
13/03/2020,ROC6,14,Exclos,10,2,0.27,1,16.67,
13/03/2020,ROC3,14,Exclos,5,1,0.16,1,15.74,Dans le même fichier que 10 (1ere mesure est 5)
13/03/2020,ROC3,14,Exclos,5,2,0.16,1,16.53,
13/03/2020,ROC3,14,Exclos,10,1,0.33,1,16.28,Dans le même fichier que 5 (1ere mesure est 5)
13/03/2020,ROC3,14,Exclos,10,2,0.34,1,16.54,
13/03/2020,ROC3,14,Temoin,5,1,0.36,1,15.82,Air ambiant potentiellement trop variable : essayer sans T_diff
13/03/2020,ROC3,14,Temoin,5,2,0.33,1,16.07,
13/03/2020,ROC3,14,Temoin,10,1,0.66,1,17.19,
13/03/2020,ROC3,14,Temoin,10,2,0.65,1,17.31,
13/03/2020,ROC8,14,Temoin,5,1,0.27,1,17.08,Échantillon en mauvais état. trop étroit et très homogène
13/03/2020,ROC8,14,Temoin,5,2,0.27,1,17.53,Échantillon en mauvais état. trop étroit et très homogène
13/03/2020,ROC8,14,Temoin,10,1,0.47,1,17.19,Échantillon en mauvais état. trop étroit et très homogène
13/03/2020,ROC8,14,Temoin,10,2,0.46,1,17.53,Échantillon en mauvais état. trop étroit et très homogène
13/03/2020,ROC8,14,Temoin,15,1,0.61,1,17.38,Échantillon en mauvais état. trop étroit et très homogène
13/03/2020,ROC8,14,Temoin,15,2,0.62,1,17.63,Échantillon en mauvais état. trop étroit et très homogène
01/05/2020,ROC8,1,Exclos,5,1,0.26,1,16.89,
01/05/2020,ROC8,1,Exclos,5,2,0.24,1,17.23,
01/05/2020,ROC8,1,Exclos,10,1,0.16,2,17.6,Échantillon destructuré juste au dessus de cette profondeur. Mesure surprenante. peut-être à jeter
01/05/2020,ROC8,1,Exclos,10,2,0.14,2,18.37,
01/05/2020,ROC8,1,Exclos,15,1,0.34,1,18.03,Échantillon pas à l'équilibre?
01/05/2020,ROC8,1,Exclos,15,2,0.32,2,18.47,
01/05/2020,ROC6,1,Exclos,5,1,0.2,1,18.17,
01/05/2020,ROC6,1,Exclos,5,2,0.21,1,18.31,
01/05/2020,ROC6,1,Exclos,10,1,0.58,1,17.49,
01/05/2020,ROC6,1,Exclos,10,2,0.57,1,17.86,
01/05/2020,ROC7,10,Temoin,5,1,0.23,2,17.86,
01/05/2020,ROC7,10,Temoin,5,2,0.22,2,18.09,
01/05/2020,ROC7,10,Temoin,10,1,0.55,1,17.88,
01/05/2020,ROC7,10,Temoin,10,2,0.55,1,17.96,
01/05/2020,ROC7,10,Exclos,5,1,0.32,1,17.16,
01/05/2020,ROC7,10,Exclos,5,2,0.24,1,17.44,
01/05/2020,ROC7,10,Exclos,10,1,0.48,1,17.45,
01/05/2020,ROC7,10,Exclos,10,2,0.48,1,17.68,
04/05/2020,ROC6,10,Temoin,5,1,0.57,1,17.28,
04/05/2020,ROC6,10,Temoin,5,2,0.55,1,17.18,
04/05/2020,ROC6,10,Temoin,10,1,0.88,1,17.04,
04/05/2020,ROC6,10,Temoin,10,2,1,1,17.13,
04/05/2020,ROC6,10,Temoin,10,3,0.9,1,17.22,
06/05/2020,ROC3,6,Temoin,5,1,0.3,1,14.1,
06/05/2020,ROC3,6,Temoin,5,2,0.33,1,14.39,
06/05/2020,ROC3,6,Temoin,10,1,0.65,1,15.4,
06/05/2020,ROC3,6,Temoin,10,2,0.65,1,15.55,
