Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Sp;nb_ind;m_frais;nb_emb1;nb_emb2;nb_emb3;nb_emb4;nb_emb5;nb_emb6;nb_emb7;nb_emb8;nb_emb9;nb_emb10;nb_emb_moy;m_vert;m_brun;Fonct_H1;Fonct_H2;Fonct_H3;Fonct_H4;Fonct_H5;Fonct_H6;Fonct_H7;Fonct_H8;Fonct_H9;Fonct_H10;Fonct_H_moy;Vert_H1;Vert_H2;Vert_H3;Vert_H4;Vert_H5;Vert_H6;Vert_H7;Vert_H8;Vert_H9;Vert_H10;Vert_H_moy;An1_H1;An1_H2;An1_H3;An1_H4;An1_H5;An1_H6;An1_H7;An1_H8;An1_H9;An1_H10;An1_H_moy;An2_H1;An2_H2;An2_H3;An2_H4;An2_H5;An2_H6;An2_H7;An2_H8;An2_H9;An2_H10;An2_H_moy;An3_H1;An3_H2;An3_H3;An3_H4;An3_H5;An3_H6;An3_H7;An3_H8;An3_H9;An3_H10;An3_H_moy;An4_H1;An4_H2;An4_H3;An4_H4;An4_H5;An4_H6;An4_H7;An4_H8;An4_H9;An4_H10;An4_H_moy;An5_H1;An5_H2;An5_H3;An5_H4;An5_H5;An5_H6;An5_H7;An5_H8;An5_H9;An5_H10;An5_H_moy;pH_1;pH_2;pH_3;pH_moy;T_pièce;P_Ulaval;P_CNETE;Si;LA;dNormC13;dNNorm15;%C;%N;Ratio_CN
26;PA;Non Brouté;Exclos;Aul.pal;3;0,3247;3;1;1;;;;;;;;1,666666667;0,0062;0,0624;4,8;3,5;4;;;;;;;;4,1;0,6;0,5;0,7;;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,19;6,11;;6,15;21,5;0,13;;;3,91652173913043;-28,2342226099411;-1,17134430348355;12,6609344;0,3906044;32,4137014329588
26;PA;Non Brouté;Exclos;Pol.sp;8;0,2279;1;1;1;1;1;1;1;1;;;1;0,0104;0,043;4,5;3,3;5;4;3,3;3,7;2,5;1,7;;;3,5;0,5;0,6;0;0,7;0,2;1,6;1;;;;0,6571428571;1;0,6;0,5;0,6;0,4;0,6;0,8;;;;0,6428571429;0,6;0,5;0,4;0,5;0,2;;0,6;;;;0,4666666667;0,7;0,3;0,4;0,6;0,3;;0,4;;;;0,45;0,6;0,5;;0,5;0,5;;0,5;;;;0,52;0,9;0,6;;;;;0,8;;;;0,7666666667;6,19;6,03;;6,11;21,5;0,07;;;5,95023696682464;-28,4132230707409;-1,30461659232655;33,3595459;0,5914054;56,4072392643016
26;PA;Non Brouté;Exclos;Bra.alb+Sco.sco;10;0,3085;2;1;1;1;2;5;5;2;11;8;3,8;0,0048;0,0155;3,9;4;3,4;4,8;3,5;3,4;2,8;2,5;2,5;2,7;3,35;1,5;0;0,6;0,7;1;1,4;0,4;0,5;0,2;0;0,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,61;6,35;;6,48;21,5;;833;477;6,71072463768116;-30,6996819954318;-0,946885711747966;23,2023582;0,5521542;42,0215189887173
26;PA;Non Brouté;Exclos;Tom.nit;2;0,5059;4;13;;;;;;;;;8,5;0,03;0,0298;4,8;3,6;;;;;;;;;4,2;1,5;2,4;;;;;;;;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,94;5,89;;5,915;21,5;;850;414;7,44868735083532;-29,5821653064609;-1,0751477641683;20,2106304;0,4304353;46,9539333786053
26;PA;Non Brouté;Exclos;Bry.pse+Poh.nut;10;0,0368;1;1;1;1;1;1;1;1;2;2;1,2;0;0,0059;2,6;2,2;3,1;1,8;1,5;3;1,4;1,3;1,5;2,6;2,1;1,2;0,5;1,3;0,6;0;0;0;0;0;0;0,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,08;6,07;;6,075;21,5;0,12;;;1,59681093394077;-28,8463844068198;-1,47897281983544;24,4431886;0,6339887;38,554612408707
26;PA;Non Brouté;Exclos;Bry.pse;10;0,0816;1;1;2;3;4;1;1;1;3;3;2;0,0004;0,0099;1,9;3,1;2,1;2,4;0,4;2;2,1;1,6;1,4;1,6;1,86;0;0;0;0,2;0,2;0;0;0,6;0;0;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,17;6,09;;6,13;21,5;;954;381;2,06225240520657;-28,1115924600009;-0,862713739847122;20,9708171;0,7103347;29,5224449826258
26;PA;Non Brouté;Exclos;Cal.ric;6;0,1717;3;4;2;4;1;3;;;;;2,83333333333333;0,003;0,0185;5,9;2,6;2,5;3,3;3;3;;;;;3,38333333333333;0,8;1;0,5;0,6;0;0;;;;;0,483333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1007;214;4,02885682574917;-28,8165973;9,338220084;20,66686;0,513884955;40,21690022
26;PA;Brouté;Témoin;Tom.nit;10;1,26;1;1;1;1;2;2;1;2;1;1;1,3;0,0338;0,2032;4,3;3,1;4,8;4,2;3,7;4,5;3,2;4,5;3,8;3,4;3,95;0,7;0,7;0,5;0,5;0,4;0,4;0,5;0,7;0;0;0,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,08;6,24;;6,16;21,5;0,11;;;15,654501216545;-27,6200829074181;-1,10420713541978;17,6622115;0,3973484;44,4501890532339
33;PS;Non Brouté;Exclos;Dre.arc;10;0,1909;4;1;1;1;8;5;5;4;5;5;3,9;0,0056;0,037;3,2;2,6;2,1;2,3;2,6;3,3;2,4;2,3;3,7;2,8;2,73;1;0,2;0,6;0,3;1;1,2;0;0,4;0,3;0;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,54;6,7;;6,62;21,3;0,13;950;311;4,95571095571096;-27,6453782151185;-1,28668951227765;14,9025140016706;0,408081215520482;36,5185003251457
33;PS;Non Brouté;Exclos;Sco.rev;10;0,2566;3;4;1;1;3;3;2;3;1;2;2,3;0,0019;0,0525;1,9;2,5;2,4;2,5;1,8;1,6;2,7;2,8;2,9;2,9;2,4;0;0;0,3;0,9;0,1;0;1,8;0;1,2;1,3;0,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,74;6,8;;6,77;21,3;0,13;;;4,41863278886872;-28,263891194604;-0,555085223495228;14,708526;0,4790699;30,7022545144247
33;PS;Non Brouté;Exclos;Bry.pse;10;0,0265;1;2;1;1;1;1;1;1;1;1;1,1;0;0,0073;1,2;1,4;2;1,8;1,3;1,3;1,4;1,1;1,2;1,5;1,42;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,71;6,57;;6,64;21,3;0,13;;;1,36099585062241;-27,508331238521;-0,942877522609831;19,0652754;0,6206684;30,7173289311974
33;PS;Non Brouté;Exclos;Phi.tom;10;0,1147;6;3;6;3;2;2;6;4;2;2;3,6;0,005;0,0262;1,9;3,1;2,4;2;2,9;3;2;1,6;1,7;2;2,26;0,5;0;0,4;0,3;0,5;0,4;0,3;0,5;0,2;0,7;0,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,13;;;2,82042455536431;-28,2084443054392;-1,48164088619669;8,50074542521437;0,279773891624068;30,3843413546136
33;PS;Non Brouté;Exclos;Dis.sp;10;0,0229;3;1;2;1;2;3;4;1;1;3;2,1;0,0021;0,005;2,2;2,1;3;2,8;3,4;2,5;2,9;2,9;2,5;2,9;2,72;0,9;0,7;0,8;1,1;1;0,6;0,7;0,8;1,1;0,9;0,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,5;6,58;;6,54;21,3;0,08;;;1,72330097087379;-28,3776207691453;-0,887764921960468;8,9329366;0,324568;27,5225425796751
33;PS;Brouté;Témoin;Sco.rev;10;0,2074;3;4;8;6;6;3;2;1;2;2;3,7;0,0032;0,0313;3,1;3,2;3,6;3,4;2,5;3,1;2,7;1,8;2,9;3,4;2,97;1,6;0,9;0,4;0;0,6;0,3;0,4;0,5;0;0;0,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,88;7,14;;7,01;21,3;0,13;;;4,45539906103286;-25,6741538463776;-0,813526281828325;19,7061770310264;0,602989929979432;32,6807730134044
33;PS;Brouté;Témoin;Bry.pse;10;0,0328;1;1;1;1;1;2;1;1;3;1;1,3;0,0012;0,0065;2;1,3;1;1,2;0,7;1,2;1,1;0,8;0,4;0,9;1,06;0,5;0,2;0,6;0,5;0,7;0,7;0,2;0,3;0,1;0;0,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,29;7,08;7,07;7,14666666666667;21,3;0,14;;;1,12614678899083;-26,0350683631155;-0,672389610084856;17,6568644273795;0,678669235271848;26,0168923382933
33;PS;Brouté;Témoin;Dre.arc;6;0,1282;;;;;;;;;;;0;0,0053;0,0139;2;2,3;3,4;2,3;3,7;2,5;;;;;2,7;0,3;0,6;0,7;0,5;0,3;0,7;;;;;0,516666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,65;6,8;;6,725;21,3;0,21;;;3,14134897360704;-25,72985626;7,630537234;16,768154;0,656293349;25,54978507
35;PS;Non Brouté;Exclos;Phi.tom;6;0,1225;1;4;5;5;4;5; ;;;;4;0,0018;0,0398;2,2;2,4;1,7;2,9;1,9;2,7;;;;;2,3;0,4;0,5;0,3;0,5;0,5;0,2;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,25;7,1;;7,175;21,3;0,13;;;2,96699478865084;-28,43748947;9,054731231;9,12142913;0,323422161;28,20285757
35;PS;Non Brouté;Exclos;Bry.pse;9;0,0458;2;1;1;2;1;2;3;1;2;;1,66666666666667;0,0007;0,0152;1,2;1,1;1,5;1,6;1,2;1,3;1,7;1,3;2;;1,43333333333333;0,3;0,4;0,1;0,1;0,4;0,3;0,3;0,1;0,2;;0,244444444444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,13;;;1,5219170075979;-27,0438540205552;-1,37502685358472;13,0281880699529;0,483542330627923;26,9432213991165
