Parcelle;Traitement;Herbivorie_enveloppe;Herbivorie;Motte;Hauteur_motte1;Hauteur_motte2;Hauteur_motte3;Hauteur_motte4;Hauteur_motte5;Hauteur_motteMoy.;Temps;Date/h;Temps_écoulé ;Masse_pétri;Biom_sec+Pétri;Biom_sec;Eau_réhyd;Eau_libre;Eau_retention(t0);Biom_hum+Pétri;Biom_hum;Eau_motte_t;Tpièce;hum.pièce;Vperte_eau;Eau_retention(tf);Mt/M0;pente;WRC_m60h;WRC_m60j;WRC;WHC;Notes;Temps hyd.
26;PA;Non Brouté;Exclos;1;2;2;1,5;1,5;2;1,8;0;05/11/19 09:14;00:00:00;1,3473;5,1394;3,7921;150;132;18;14,3288;12,9815;9,1894;18,4;37;-2,10958121352218;0,015242214076633;1;-0,870540287700771;23:58:01,12;30/12/99 13:47;13,7844444444444;4,74671026607948;;
;;;;;;;;;;;1;05/11/19 11:56;02:41:59;;;;;;;13,4856;12,1383;8,3462;20;30;;;0,908242105034061;;;;;;;
;;;;;;;;;;;2;05/11/19 18:03;08:48:59;;;;;;;11,259;9,9117;6,1196;20,9;29;;;0,665941193113805;;;;;;;
;;;;;;;;;;;3;06/11/19 08:49;23:34:59;;;;;;;6,4916;5,1443;1,3522;19,9;26;;;0,147147800726924;;;;;;;
;;;;;;;;;;;4;06/11/19 11:25;26:11:00;;;;;;;5,8995;4,5522;0,7601;20,1;26;;;0,0827148671295188;;;;;;;
;;;;;;;;;;;5;06/11/19 15:40;30:26:00;;;;;;;5,3405;3,9932;0,201099999999999;20;25;;;0,021883909722071;;;;;;;
;;;;;;;;;;;6;07/11/19 09:00;47:46:00;;;;;;;5,1992;3,8519;0,0598000000000001;20;31;;;0,00650749776916883;;;;;;;
;;;;;;;;;;;7;07/11/19 11:41;50:27:00;;;;;;;5,1992;3,8519;0,0598000000000001;19,9;32;;;0,00650749776916883;;;;;;;
;;;;;;;;;;;8;07/11/19 15:48;54:34:00;;;;;;;5,1989;3,8516;0,0594999999999999;19,8;35;;;0,00647485145929004;;;;;;;
;;;;;;;;;;;9;08/11/19 09:16;72:02:00;;;;;;;5,1954;3,8481;0,0560000000000001;20,1;26;;;0,0060939778440377;;;;;;;
