Date;Parcelle;Traitement;Exclos;Motte;Motte_enveloppe;Sp;Sp_enveloppe;Nbr_Tiges;Nbr_individu_repro
22/07/2018;72;PA;Exclos;B3;1;SAAR;1;3;1
22/07/2018;72;PA;Exclos;B3;1;GRAM_feuilles striées;2;0;0
22/07/2018;72;PA;Exclos;B3;1;ERSC;3;0;0
22/07/2018;72;PA;Exclos;B1;2;SAAR;1;1;1
22/07/2018;72;PA;Exclos;B1;2;GRAM_feuilles striées;2;0;0
22/07/2018;72;PA;Exclos;B1;2;ERSC;3;0;0
22/07/2018;72;PA;Exclos;A3;3;SAAR;1;4;0
22/07/2018;72;PA;Exclos;A3;3;GRAM_feuilles striées;2;3;0
22/07/2018;72;PA;Exclos;A3;3;ERSC;3;0;0
22/07/2018;72;PA;Exclos;A8;4;ERSC;3;2;0
22/07/2018;72;PA;Exclos;A8;4;GRAM_feuilles striées;2;7;0
22/07/2018;72;PA;Exclos;A8;4;SAAR;1;2;0
24/07/2018;ROC8;4;Exclos;C8;1;ERSC;1;7;0
24/07/2018;ROC8;4;Exclos;C8;1;DUFI;2;25;0
24/07/2018;ROC8;4;Exclos;B3;2;ERSC;1;5;0
24/07/2018;ROC8;4;Exclos;B3;2;DUFI;2;16;0
24/07/2018;ROC8;4;Exclos;E8;3;ERSC;1;6;0
24/07/2018;ROC8;4;Exclos;E8;3;DUFI;2;24;0
24/07/2018;ROC8;4;Exclos;F3;4;ERSC;1;4;0
24/07/2018;ROC8;4;Exclos;F3;4;DUFI;2;28;0
24/07/2018;ROC8;4;Temoin;C8;1;DUFI;1;78;0
24/07/2018;ROC8;4;Temoin;D8;2;DUFI;1;36;0
24/07/2018;ROC8;4;Temoin;F3;3;DUFI;1;17;0
24/07/2018;ROC8;4;Temoin;G6;4;DUFI;1;28;0
24/07/2018;ROC8;4;Temoin;C8;1;ERSC;2;4;0
24/07/2018;ROC8;4;Temoin;D8;2;ERSC;2;3;0
24/07/2018;ROC8;4;Temoin;F3;3;ERSC;2;5;0
24/07/2018;ROC8;4;Temoin;G6;4;ERSC;2;2;0
24/07/2018;ROC8;4;Temoin;C8;1;CAAQ;3;4;0
24/07/2018;ROC8;4;Temoin;D8;2;CAAQ;3;8;0
24/07/2018;ROC8;4;Temoin;F3;3;CAAQ;3;2;0
24/07/2018;ROC8;4;Temoin;G6;4;CAAQ;3;4;0
24/07/2018;ROC8;4;Temoin;C8;1;ERAN;4;5;0
24/07/2018;ROC8;4;Temoin;D8;2;ERAN;4;0;0
24/07/2018;ROC8;4;Temoin;F3;3;ERAN;4;0;0
